Student ID,Subject,Previous Score,Time Left,Subject Importance,Preferred Learning Style
1.0,Economics,70.0,26.0,1.0,Lectures
1.0,History,71.0,31.0,5.0,Practice-Reading
1.0,Chemistry,84.0,28.0,5.0,Practical-Visual
1.0,Science,77.0,51.0,5.0,Visual-Practical
1.0,Science,68.0,29.0,5.0,Practice-Lectures
1.0,Computer Science,83.0,17.0,5.0,Reading-Practice
1.0,Chemistry,68.0,12.0,4.0,Visual-Lectures
1.0,History,69.0,40.0,1.0,Practical
1.0,Economics,66.0,34.0,1.0,Lectures
1.0,Science,86.0,22.0,4.0,Practical-Visual
1.0,Science,73.0,14.0,5.0,Practice
1.0,Chemistry,77.0,15.0,5.0,Practical
1.0,Economics,78.0,41.0,2.0,Practice
1.0,Mathematics,63.0,39.0,5.0,Practical
1.0,Physics,79.0,28.0,5.0,Visual
1.0,Economics,62.0,27.0,1.0,Lectures
1.0,Chemistry,74.0,34.0,5.0,Visual
1.0,English,77.0,41.0,3.0,Lectures-Practice
1.0,Science,79.0,17.0,5.0,Practice-Visual
1.0,Science,72.0,33.0,4.0,Practical
2.0,Chemistry,70.0,35.0,5.0,Lectures-Visual
2.0,English,59.0,38.0,3.0,Reading
2.0,Mathematics,80.0,39.0,4.0,Practical
2.0,Physics,70.0,33.0,5.0,Visual
2.0,Science,87.0,14.0,5.0,Practice-Practical
2.0,Biology,81.0,20.0,3.0,Practice-Practical
2.0,Computer Science,86.0,37.0,5.0,Practical-Reading
2.0,Biology,81.0,40.0,2.0,Visual-Reading
2.0,Chemistry,67.0,25.0,5.0,Practical-Lectures
2.0,Biology,79.0,44.0,3.0,Visual-Practical
2.0,History,68.0,19.0,5.0,Lectures-Visual
2.0,Mathematics,92.0,27.0,5.0,Lectures
2.0,Chemistry,70.0,51.0,5.0,Practical-Practice
2.0,Geography,55.0,28.0,3.0,Reading-Lectures
2.0,Science,69.0,31.0,4.0,Lectures-Practice
2.0,English,77.0,28.0,1.0,Reading-Practical
2.0,History,52.0,32.0,3.0,Practice-Practical
2.0,Economics,78.0,26.0,4.0,Practice-Reading
2.0,Mathematics,82.0,16.0,5.0,Practice
2.0,Geography,70.0,27.0,3.0,Practice-Reading
3.0,Chemistry,81.0,46.0,5.0,Reading-Practice
3.0,Computer Science,75.0,37.0,5.0,Practical-Visual
3.0,English,74.0,46.0,5.0,Practice-Reading
3.0,Computer Science,74.0,23.0,4.0,Reading-Practical
3.0,Biology,62.0,28.0,3.0,Lectures-Practice
3.0,Geography,61.0,13.0,5.0,Practical-Lectures
3.0,Economics,74.0,26.0,3.0,Reading
3.0,Chemistry,62.0,25.0,4.0,Practical
3.0,Computer Science,81.0,35.0,5.0,Visual
3.0,Chemistry,65.0,24.0,4.0,Reading
3.0,Chemistry,76.0,28.0,4.0,Visual-Lectures
3.0,Mathematics,74.0,11.0,4.0,Practical-Lectures
3.0,Computer Science,62.0,36.0,5.0,Lectures-Reading
3.0,Economics,73.0,36.0,3.0,Lectures-Practical
3.0,Biology,83.0,18.0,4.0,Practical-Practice
3.0,History,67.0,29.0,1.0,Lectures
3.0,Economics,63.0,46.0,1.0,Reading
3.0,History,82.0,43.0,5.0,Reading
3.0,Physics,75.0,32.0,5.0,Lectures-Visual
3.0,Economics,78.0,11.0,4.0,Practice
4.0,Physics,72.0,26.0,5.0,Lectures
4.0,Physics,70.0,19.0,5.0,Visual
4.0,Science,67.0,24.0,5.0,Reading
4.0,History,74.0,31.0,2.0,Practice-Visual
4.0,Mathematics,79.0,35.0,5.0,Reading-Practical
4.0,English,83.0,22.0,3.0,Lectures
4.0,Physics,66.0,39.0,5.0,Lectures-Practice
4.0,Science,82.0,35.0,5.0,Practice-Lectures
4.0,Mathematics,61.0,35.0,5.0,Visual-Lectures
4.0,Physics,68.0,22.0,5.0,Reading-Visual
4.0,Economics,60.0,34.0,3.0,Visual-Practical
4.0,Chemistry,52.0,36.0,5.0,Lectures
4.0,Chemistry,85.0,27.0,5.0,Visual-Lectures
4.0,Science,90.0,22.0,5.0,Practice-Lectures
4.0,Physics,77.0,29.0,5.0,Visual
4.0,Geography,63.0,35.0,2.0,Visual-Practice
4.0,Physics,82.0,21.0,4.0,Practical
4.0,Science,69.0,15.0,4.0,Visual-Practical
4.0,Geography,73.0,25.0,5.0,Lectures-Reading
4.0,English,56.0,23.0,4.0,Practice
5.0,English,74.0,23.0,1.0,Visual
5.0,Mathematics,90.0,35.0,5.0,Visual
5.0,Economics,84.0,32.0,1.0,Lectures
5.0,Computer Science,72.0,33.0,4.0,Visual-Lectures
5.0,Computer Science,75.0,26.0,4.0,Practice-Visual
