Student ID,Subject,Previous Score,Time Left,Subject Importance,Preferred Learning Style
1.0,Data Structures and Algorithms,70.0,26.0,1.0,Lectures
1.0,Operating Systems,71.0,31.0,5.0,Practice-Reading
1.0,Computer Networks,84.0,28.0,5.0,Practical-Visual
1.0,Database Management Systems,77.0,51.0,5.0,Visual-Practical
1.0,Database Management Systems,68.0,29.0,5.0,Practice-Lectures
1.0,Theory of Computation,83.0,17.0,5.0,Reading-Practice
1.0,Computer Networks,68.0,12.0,4.0,Visual-Lectures
1.0,Operating Systems,69.0,40.0,1.0,Practical
1.0,Data Structures and Algorithms,66.0,34.0,1.0,Lectures
1.0,Database Management Systems,86.0,22.0,4.0,Practical-Visual
1.0,Database Management Systems,73.0,14.0,5.0,Practice
1.0,Computer Networks,77.0,15.0,5.0,Practical
1.0,Data Structures and Algorithms,78.0,41.0,2.0,Practice
1.0,Software Engineering,63.0,39.0,5.0,Practical
1.0,Computer Architecture and Organization,79.0,28.0,5.0,Visual
1.0,Data Structures and Algorithms,62.0,27.0,1.0,Lectures
1.0,Computer Networks,74.0,34.0,5.0,Visual
1.0,Compiler Design,77.0,41.0,3.0,Lectures-Practice
1.0,Database Management Systems,79.0,17.0,5.0,Practice-Visual
1.0,Database Management Systems,72.0,33.0,4.0,Practical
2.0,Computer Networks,70.0,35.0,5.0,Lectures-Visual
2.0,Compiler Design,59.0,38.0,3.0,Reading
2.0,Software Engineering,80.0,39.0,4.0,Practical
2.0,Computer Architecture and Organization,70.0,33.0,5.0,Visual
2.0,Database Management Systems,87.0,14.0,5.0,Practice-Practical
2.0,Artificial Intelligence and Machine Learning,81.0,20.0,3.0,Practice-Practical
2.0,Theory of Computation,86.0,37.0,5.0,Practical-Reading
2.0,Artificial Intelligence and Machine Learning,81.0,40.0,2.0,Visual-Reading
2.0,Computer Networks,67.0,25.0,5.0,Practical-Lectures
2.0,Artificial Intelligence and Machine Learning,79.0,44.0,3.0,Visual-Practical
2.0,Operating Systems,68.0,19.0,5.0,Lectures-Visual
2.0,Software Engineering,92.0,27.0,5.0,Lectures
2.0,Computer Networks,70.0,51.0,5.0,Practical-Practice
2.0,Discrete Mathematics,55.0,28.0,3.0,Reading-Lectures
2.0,Database Management Systems,69.0,31.0,4.0,Lectures-Practice
2.0,Compiler Design,77.0,28.0,1.0,Reading-Practical
2.0,Operating Systems,52.0,32.0,3.0,Practice-Practical
2.0,Data Structures and Algorithms,78.0,26.0,4.0,Practice-Reading
2.0,Software Engineering,82.0,16.0,5.0,Practice
2.0,Discrete Mathematics,70.0,27.0,3.0,Practice-Reading
3.0,Computer Networks,81.0,46.0,5.0,Reading-Practice
